Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2321772,6/5/2022,Michigan,Saginaw,300 block of S 11th St,3,2,N/A,43.333795,-83.718362,0.9,range_interpolation,300,Block Rd,,,Frankenmuth,MI,Saginaw County,48734,US,TIGER/Line® dataset from the US Census Bureau
2321693,6/5/2022,Michigan,Grand Rapids,Pearl St NW and Ottawa Ave NW,1,3,N/A,42.966376,-85.670136,1,intersection,,Ottawa Ave NW,,,Grand Rapids,MI,Kent County,49503,US,TIGER/Line® dataset from the US Census Bureau
2321532,6/5/2022,Tennessee,Chattanooga,2125 McCallie Ave,2,12,N/A,35.034718,-85.27066,1,rooftop,2125,McCallie Ave,,,Chattanooga,TN,Hamilton County,37404,US,City of Chattanooga
2321440,6/5/2022,Arizona,Mesa,1457 W Southern Ave,2,2,N/A,33.392764,-111.862547,1,rooftop,1457,W Southern Ave,,,Mesa,AZ,Maricopa County,85202,US,City of Mesa
2321193,6/4/2022,Michigan,Ecorse,3800 block of W Jefferson Ave,0,4,N/A,42.249838,-83.143121,0.5,place,,,,,Ecorse,MI,Wayne County,48229,US,TIGER/Line® dataset from the US Census Bureau
2321698,6/4/2022,New York,Hempstead,77 Terrace Ave,1,3,N/A,40.710272,-73.630634,1,rooftop,77,Terrace Ave,,,Hempstead,NY,Nassau County,11550,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
2321593,6/4/2022,South Carolina,Summerton,US-15 and St Paul Rd,1,7,N/A,33.55156,-80.322756,0.5,place,,,,,Summerton,SC,Clarendon County,29148,US,TIGER/Line® dataset from the US Census Bureau
2321266,6/4/2022,Pennsylvania,Philadelphia,200 block of South St,3,12,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2321500,6/4/2022,Georgia,Macon,300 Block of Jones Ave,1,3,N/A,32.804382,-83.617554,0.5,place,,,,,Macon,GA,Bibb County,31201,US,TIGER/Line® dataset from the US Census Bureau
2320673,6/4/2022,Texas,El Paso (Socorro),10851 Thunder Rd,0,5,N/A,31.658279,-106.252436,1,range_interpolation,10851,Thunder Rd,,,El Paso,TX,El Paso County,79927,US,TIGER/Line® dataset from the US Census Bureau
2320618,6/4/2022,Arizona,Phoenix,N 10th Ave and W Hatcher Rd,1,8,N/A,33.571363,-112.060347,0.8,intersection,,E Hatcher Rd,,,Phoenix,AZ,Maricopa County,85020,US,TIGER/Line® dataset from the US Census Bureau
2320361,6/3/2022,Virginia,Chester,10960 block of Stepney Rd,1,5,N/A,37.374976,-77.431044,0.9,range_interpolation,10960,Stepney Rd,,,Chester,VA,Chesterfield County,23831,US,TIGER/Line® dataset from the US Census Bureau
2320862,6/3/2022,Nebraska,Omaha,S 30th St and T St,1,3,N/A,41.202514,-95.957717,0.87,intersection,,S 30th St,,,Omaha,NE,Douglas County,68107,US,TIGER/Line® dataset from the US Census Bureau
2318310,6/1/2022,Oklahoma,Tulsa,6161 S Yale Ave,5,0,N/A,36.072814,-95.917624,1,rooftop,6161,S Yale Ave,,,Tulsa,OK,Tulsa County,74136,US,Tulsa
2318046,5/31/2022,Texas,Waco,1900 block of Preston St,0,4,N/A,31.522433,-97.139202,1,rooftop,1900,St,,,Waco,TX,McLennan County,76711,US,Statewide TX
2317016,5/30/2022,South Carolina,Charleston,America St and South St,0,10,N/A,32.797366,-79.936622,1,street_center,,America St,,,Charleston,SC,Charleston County,29403,US,TIGER/Line® dataset from the US Census Bureau
2316616,5/30/2022,Michigan,Benton Harbor,999 Pipestone St,1,6,N/A,42.099943,-86.437914,1,range_interpolation,999,Pipestone St,,,Benton Harbor,MI,Berrien County,49022,US,TIGER/Line® dataset from the US Census Bureau
2315903,5/30/2022,Pennsylvania,Philadelphia,N Delaware Ave and E Tioga St,2,2,N/A,39.985487,-75.093384,0.78,intersection,,E Tioga St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
2315150,5/29/2022,Oklahoma,Taft,104 Elm St,1,7,N/A,35.823079,-95.674371,0.86,range_interpolation,104,Elm,,,Haskell,OK,Muskogee County,74436,US,TIGER/Line® dataset from the US Census Bureau
2315333,5/29/2022,California,Merced,Cowden Ave,1,3,N/A,37.326945,-120.533496,1,street_center,,Cowden Ave,,,Merced,CA,Merced County,95348,US,TIGER/Line® dataset from the US Census Bureau
2316364,5/29/2022,Texas,Houston,11654 Walnut Dale Ct,0,4,N/A,29.902831,-95.462356,1,rooftop,11654,Walnut Dale Ct,,,Houston,TX,Harris County,77038,US,Greater Houston
2315892,5/29/2022,Illinois,Chicago,4400 block of W Walton St,1,4,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2315605,5/29/2022,Arizona,Phoenix,N 58th St and W Windsor Ave,1,5,N/A,33.477703,-112.18388,0.8,intersection,,N 58th Ave,,,Phoenix,AZ,Maricopa County,85035,US,TIGER/Line® dataset from the US Census Bureau
2315361,5/29/2022,Nevada,Henderson,I-11 and Horizon Dr,0,7,N/A,35.927901,-114.972061,0.5,place,,,,,Henderson,NV,Clark County,89009,US,TIGER/Line® dataset from the US Census Bureau
2315074,5/29/2022,Illinois,Chicago,800 block of S Karlov Ave,0,5,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2314991,5/28/2022,Tennessee,Chattanooga,100 block of Cherry St,0,6,N/A,35.040538,-85.241268,0.7,street_center,,Block St,,,Chattanooga,TN,Hamilton County,37411,US,TIGER/Line® dataset from the US Census Bureau
2315338,5/28/2022,California,Fresno,2233 N 1st St,1,3,N/A,36.77068,-119.773874,1,rooftop,2233,N 1st St,,,Fresno,CA,Fresno County,93703,US,Fresno
2315417,5/28/2022,Florida,Malabar,2500 block of Billie Ln,0,4,N/A,28.00363,-80.56561,0.5,place,,,,,Malabar,FL,Brevard County,32950,US,TIGER/Line® dataset from the US Census Bureau
2315190,5/28/2022,Colorado,Colorado Springs,3800 block of E Pikes Pike Ave,1,3,N/A,38.828893,-104.809929,0.5,place,,,,,Colorado Springs,CO,El Paso County,80903,US,TIGER/Line® dataset from the US Census Bureau
2314951,5/28/2022,Tennessee,Memphis,Chelsea Ave and Peres Ave,0,4,N/A,35.174756,-89.979787,0.93,intersection,,Chelsea Ave,,,Memphis,TN,Shelby County,38108,US,TIGER/Line® dataset from the US Census Bureau
2313988,5/27/2022,Alabama,Anniston,1204 Front St,0,6,N/A,33.633344,-85.830931,1,rooftop,1204,Front St,,,Anniston,AL,Calhoun County,36201,US,Calhoun
2313970,5/27/2022,Michigan,Stanwood,10711 185th Ave,4,1,N/A,43.623706,-85.453398,1,range_interpolation,10711,185th Ave,,,Stanwood,MI,Mecosta County,49346,US,TIGER/Line® dataset from the US Census Bureau
2312678,5/25/2022,Pennsylvania,Philadelphia,3500 block of Fairmount Ave,0,4,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2310278,5/24/2022,Texas,Uvalde,715 Old Carrizo Rd,22,17,N/A,29.199261,-99.787959,1,rooftop,715,Old Carrizo Rd,,,Uvalde,TX,Uvalde County,78801,US,Statewide TX
2309711,5/23/2022,South Carolina,North Charleston,7550 Dorchester Rd,0,5,N/A,32.90294,-80.080098,1,range_interpolation,7550,Dorchester Rd,,,North Charleston,SC,Charleston County,29418,US,TIGER/Line® dataset from the US Census Bureau
2311123,5/23/2022,Ohio,Cleveland,1032 Hartley Rd,0,5,N/A,41.551286,-81.574965,1,rooftop,1032,Hartley Rd,,,Cleveland,OH,Cuyahoga County,44110,US,Cuyahoga
2308096,5/21/2022,Indiana,Goshen,1204 Rosemare Ct,2,3,N/A,41.549107,-85.81183,1,range_interpolation,1204,Rosemare Ct,,,Goshen,IN,Elkhart County,46526,US,TIGER/Line® dataset from the US Census Bureau
2308395,5/21/2022,Washington,Tacoma,S Yakima Ave and S 56th St,0,4,N/A,47.206416,-122.44321,1,intersection,,S 56th St,,,Tacoma,WA,Pierce County,98408,US,TIGER/Line® dataset from the US Census Bureau
2307631,5/20/2022,Florida,Kissimmee,2331 Old Dixie Hwy,1,3,N/A,28.31289,-81.401983,1,rooftop,2331,Old Dixie Hwy,,,Kissimmee,FL,Osceola County,34744,US,Osceola
2308017,5/20/2022,California,Highland,3606 Highland Ave,1,8,N/A,34.135929,-117.21187,1,range_interpolation,3606,Highland Ave,,,Highland,CA,San Bernardino County,92346,US,TIGER/Line® dataset from the US Census Bureau
2307813,5/20/2022,Louisiana,New Orleans,St. Claude Ave and Forstall St,1,3,N/A,29.958304,-90.077,0.5,place,,,,,New Orleans,LA,Orleans Parish,70112,US,TIGER/Line® dataset from the US Census Bureau
2307044,5/19/2022,Illinois,Chicago,800 block of N State St,2,7,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2306277,5/18/2022,Pennsylvania,Philadelphia,1500 block of Bouvier St,0,5,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2305208,5/17/2022,California,Palo Alto (East Palo Alto),2500 block of Fordham St,1,3,N/A,37.444122,-122.149915,0.5,place,,,,,Palo Alto,CA,Santa Clara County,94301,US,TIGER/Line® dataset from the US Census Bureau
2302847,5/15/2022,California,Laguna Woods,24301 El Toro Rd,1,5,N/A,33.609654,-117.733372,0.9,rooftop,24301,El Toro Rd,,,Laguna Woods,CA,Orange County,92637,US,Orange
2303130,5/15/2022,North Carolina,Winston Salem (Winston-salem),2000 block of 25th St,0,7,N/A,36.111102,-80.200493,0.5,place,,,,,Winston Salem,NC,Forsyth County,27101,US,TIGER/Line® dataset from the US Census Bureau
2304029,5/15/2022,North Carolina,Elizabeth City,901 S Martin Luther King Jr Dr,0,4,N/A,36.292892,-76.220854,0.9,nearest_rooftop_match,900,S Martin Luther King Jr Dr,,,Elizabeth City,NC,Pasquotank County,27909,US,NC Geographic Information Coordinating Council
2302740,5/15/2022,Texas,Houston,8729 Airline Dr,2,3,N/A,29.884672,-95.392145,1,range_interpolation,8729,Airline Dr,,,Houston,TX,Harris County,77037,US,TIGER/Line® dataset from the US Census Bureau
2303337,5/15/2022,Texas,Amarillo,1003 N Fillmore St,1,4,N/A,35.224365,-101.832021,1,rooftop,1003,N Fillmore St,,,Amarillo,TX,Potter County,79107,US,City of Amarillo
2301751,5/14/2022,New York,Buffalo,1275 Jefferson Ave,10,3,N/A,42.909757,-78.852961,1,rooftop,1275,Jefferson Ave,,,Buffalo,NY,Erie County,14208,US,Erie
2301494,5/13/2022,Wisconsin,Milwaukee,Water St and Juneau Ave,0,17,N/A,43.045726,-87.911065,0.8,intersection,,E Juneau Ave,,,Milwaukee,WI,Milwaukee County,53202,US,TIGER/Line® dataset from the US Census Bureau
2300713,5/12/2022,Arkansas,Hot Springs National Park (Hot Springs),134 Convention Blvd,1,4,N/A,34.509036,-93.05164,1,rooftop,134,Convention Blvd,,,Hot Springs National Park,AR,Garland County,71901,US,Garland
2299660,5/11/2022,Illinois,Chicago,6800 block of S Ashland Ave,0,4,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2299126,5/11/2022,Indiana,Indianapolis,701 Canal Walk,0,4,N/A,39.777577,-86.166757,0.95,range_interpolation,701,Canal Ct,,,Indianapolis,IN,Marion County,46202,US,TIGER/Line® dataset from the US Census Bureau
2299793,5/11/2022,Missouri,Saint Louis,5000 block of N Kingshighway Blvd,1,3,N/A,37.53144,-90.93318,0.5,place,,,,,Black,MO,Reynolds County,63625,US,TIGER/Line® dataset from the US Census Bureau
2300830,5/11/2022,New Jersey,Paterson,36 Essex St,1,4,N/A,40.912567,-74.165555,1,rooftop,36,Essex St,,,Paterson,NJ,Passaic County,7501,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
2298872,5/10/2022,Maryland,Baltimore,2800 block of Boarman Ave,0,5,N/A,39.28073,-76.600152,0.7,street_center,,Block St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
2298836,5/10/2022,Illinois,Chicago,4800 block of S Ada St,1,4,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2299407,5/10/2022,Illinois,Chicago,6400 block of S Richards Dr,0,6,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2298519,5/10/2022,Pennsylvania,Philadelphia,Allegheny Ave and G St,0,4,N/A,39.996753,-75.115447,0.8,intersection,,E Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
2298591,5/10/2022,Maryland,Baltimore,700 block of N Rose St,1,3,N/A,39.010085,-76.437449,0.8,rooftop,700,Black Forest Rd,,,Annapolis,MD,Anne Arundel County,21409,US,Statewide MD
2299176,5/10/2022,Texas,Brookshire,Purdy and 4th St,1,3,N/A,29.788078,-95.948871,0.8,intersection,,4th St,,,Brookshire,TX,Waller County,77423,US,TIGER/Line® dataset from the US Census Bureau
2297823,5/9/2022,Michigan,Detroit,12600 block of McCoy Cir,0,4,N/A,42.347021,-83.060184,0.5,place,,,,,Detroit,MI,Wayne County,48201,US,TIGER/Line® dataset from the US Census Bureau
2298092,5/9/2022,Alabama,Tuscaloosa,4420 21st St,0,5,N/A,33.194237,-87.593424,1,rooftop,4420,21st St,,,Tuscaloosa,AL,Tuscaloosa County,35401,US,Tuscaloosa
2297261,5/8/2022,Georgia,Clarkston,6500 block of Old Hampton Dr,3,3,N/A,33.408112,-84.273764,0.5,place,,,,,Hampton,GA,Henry County,30228,US,TIGER/Line® dataset from the US Census Bureau
2296191,5/7/2022,Kentucky,Lexington,1560 LaSalle Rd,2,3,N/A,38.016674,-84.486043,0.5,place,,,,,Lexington,KY,Fayette County,40502,US,TIGER/Line® dataset from the US Census Bureau
2296808,5/7/2022,Texas,Garland,800 block of Magnolia Dr,2,2,N/A,32.972462,-96.638051,0.5,nearest_rooftop_match,801,Torrey Pines Ln,,,Garland,TX,Dallas County,75044,US,City of Garland
2296224,5/7/2022,Florida,Miami,NW 37th St and NW 32nd Ave,0,4,N/A,25.809611,-80.248381,1,intersection,,NW 32nd Ave,,,Miami,FL,Miami-Dade County,33142,US,TIGER/Line® dataset from the US Census Bureau
2296037,5/6/2022,Louisiana,New Orleans,4800 block of Alcee Fortier Blvd,2,4,N/A,29.958304,-90.077,0.5,place,,,,,New Orleans,LA,Orleans Parish,70112,US,TIGER/Line® dataset from the US Census Bureau
2296064,5/5/2022,Washington,Sunnyside,613 S 6th St,0,5,N/A,46.321915,-120.013713,1,rooftop,613,S 6th St,,,Sunnyside,WA,Yakima County,98944,US,City of Yakima
2293603,5/3/2022,Louisiana,Baton Rouge,2100 block of North 39th St,0,5,N/A,30.44924,-91.185607,0.5,place,,,,,Baton Rouge,LA,East Baton Rouge Parish,70801,US,TIGER/Line® dataset from the US Census Bureau
2294515,5/3/2022,Kansas,Cowley (county),N/A,0,4,N/A,0,0,0,,,,,,,,,,,
2294477,5/3/2022,Texas,Beaumont,3580 S Martin Luther King Jr Pkwy,0,5,N/A,30.051635,-94.081201,1,rooftop,3580,S Martin Luther King Jr Pkwy,,,Beaumont,TX,Jefferson County,77705,US,City of Beaumont
2291712,5/1/2022,Louisiana,Lafayette,500 Jefferson St,0,12,N/A,30.225748,-92.018573,1,rooftop,500,Jefferson St,,,Lafayette,LA,Lafayette Parish,70501,US,Lafayette
2291578,5/1/2022,Ohio,Springfield,Clifton Ave and Rice St,1,4,N/A,39.909582,-83.807729,1,intersection,,Clifton Ave,,,Springfield,OH,Clark County,45505,US,TIGER/Line® dataset from the US Census Bureau
2292452,5/1/2022,Florida,Tarpon Springs,Safford Ave and Boyer St,0,6,N/A,28.144105,-82.754613,0.8,intersection,,E Boyer St,,,Tarpon Springs,FL,Pinellas County,34689,US,TIGER/Line® dataset from the US Census Bureau
2292613,5/1/2022,South Carolina,North Charleston,US-52 and Ashley Phosphate Rd,1,3,N/A,33.61571,-81.10204,0.5,place,,,,,North,SC,Orangeburg County,29112,US,TIGER/Line® dataset from the US Census Bureau
2291618,4/30/2022,Georgia,Atlanta,445 Cleveland Ave SE,1,4,N/A,33.679594,-84.376363,1,rooftop,445,Cleveland Ave SE,,,Atlanta,GA,Fulton County,30354,US,City of Atlanta
2291470,4/30/2022,Mississippi,Jackson,1207 Mississippi Street,1,5,N/A,32.301853,-90.177064,1,range_interpolation,1207,Mississippi St,,,Jackson,MS,Hinds County,39202,US,TIGER/Line® dataset from the US Census Bureau
2291185,4/29/2022,Tennessee,Jackson,310 North Pkwy,2,2,N/A,35.645451,-88.85312,1,rooftop,310,North Pkwy,,,Jackson,TN,Madison County,38305,US,Statewide TN
2290903,4/29/2022,Louisiana,New Orleans,3201 Magazine St,0,6,N/A,29.92417,-90.086688,1,rooftop,3201,Magazine St,,,New Orleans,LA,Orleans Parish,70115,US,Orleans Parish
2291534,4/29/2022,Mississippi,Laurel,Ferrell St and Poplar Dr,0,4,N/A,31.679099,-89.14569,1,intersection,,Ferrell St,,,Laurel,MS,Jones County,39440,US,TIGER/Line® dataset from the US Census Bureau
2290026,4/28/2022,Alabama,Bessemer,1800 block of Berkley Ave,1,3,N/A,33.514063,-86.896658,0.8,rooftop,1800,Ave E,,,Birmingham,AL,Jefferson County,35218,US,Jefferson
2288928,4/27/2022,Illinois,Chicago,4400 block of W Jackson Blvd,0,4,N/A,41.910064,-87.736782,0.9,rooftop,4400,W North Ave,,,Chicago,IL,Cook County,60639,US,City of Chicago
2289308,4/27/2022,Louisiana,Opelousas,700 block of Mia St,2,3,N/A,30.533657,-92.104961,0.5,place,,,,,Opelousas,LA,St. Landry Parish,70570,US,TIGER/Line® dataset from the US Census Bureau
2288842,4/27/2022,Mississippi,Biloxi,2688 Beach Blvd,4,0,N/A,30.390096,-88.996391,1,rooftop,2688,Beach Blvd,,,Biloxi,MS,Harrison County,39531,US,City of Biloxi
2289610,4/27/2022,Texas,San Antonio,3399 Wurzbach Rd,0,5,N/A,29.469401,-98.62502,1,rooftop,3399,Wurzbach Rd,,,San Antonio,TX,Bexar County,78238,US,San Antonio
2289382,4/27/2022,Arizona,Phoenix,6719 W Thomas Rd,0,4,N/A,33.479519,-112.204994,1,rooftop,6719,W Thomas Rd,,,Phoenix,AZ,Maricopa County,85033,US,Maricopa
2287581,4/25/2022,Alabama,Birmingham,821 3rd Ave W,1,3,N/A,33.505104,-86.850434,1,rooftop,821,3rd Ave W,,,Birmingham,AL,Jefferson County,35204,US,Jefferson
2286363,4/24/2022,South Carolina,Myrtle Beach,12th Ave N and Withers Alley,1,3,N/A,33.695087,-78.878124,0.93,intersection,,12th Ave N,,,Myrtle Beach,SC,Horry County,29577,US,TIGER/Line® dataset from the US Census Bureau
2286061,4/24/2022,Indiana,Lafayette,2905 Westchester Ln W,2,4,N/A,40.386898,-86.915376,1,rooftop,2905,Westchester Ln W,,,Lafayette,IN,Tippecanoe County,47909,US,Tippecanoe
2285772,4/23/2022,Illinois,Chicago,2000 block of W 51st St,2,2,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2285612,4/23/2022,North Carolina,Rocky Mount,1171 Jefferies Rd,0,4,N/A,35.978494,-77.805427,0.95,range_interpolation,1171,Jeffreys Rd,,,Rocky Mount,NC,Nash County,27804,US,TIGER/Line® dataset from the US Census Bureau
2285860,4/23/2022,Georgia,Atlanta,135 Andrew Young International Blvd NW,0,5,N/A,33.760023,-84.391814,1,rooftop,135,Andrew Young International Blvd NW,,,Atlanta,GA,Fulton County,30303,US,City of Atlanta
2286089,4/23/2022,California,San Bernardino,1036 W Highland Ave,1,4,N/A,34.136205,-117.30613,1,range_interpolation,1036,W Highland Ave,,,San Bernardino,CA,San Bernardino County,92405,US,TIGER/Line® dataset from the US Census Bureau
2285158,4/22/2022,Virginia,Petersburg,200 block of Holly Hill Dr,1,5,N/A,37.505967,-77.704172,0.7,nearest_rooftop_match,199,Dry Bridge Rd,,,Midlothian,VA,Chesterfield County,23114,US,Virginia Geographic Information Network (VGIN)
2285242,4/22/2022,Ohio,Cincinnati,Kemper Ln and E McMillan St,0,4,N/A,39.12578,-84.487905,0.8,intersection,,E McMillan St,,,Cincinnati,OH,Hamilton County,45206,US,TIGER/Line® dataset from the US Census Bureau
2284819,4/22/2022,District of Columbia,Washington,2900 block of Van Ness St NW,1,4,N/A,38.911936,-77.016719,0.5,place,,,,,Washington,DC,District of Columbia,20001,US,TIGER/Line® dataset from the US Census Bureau
2285267,4/21/2022,Arkansas,Mountain View,646 Northcutt Rd,4,0,N/A,35.757855,-91.934047,1,rooftop,646,Northcutt Rd,,,Mountain View,AR,Stone County,72560,US,Arkansas Geographic Information Office
2283535,4/20/2022,Minnesota,Duluth,715 E 12th St,5,0,N/A,46.802237,-92.102213,1,rooftop,715,E 12th St,,,Duluth,MN,St. Louis County,55805,US,St Louis
2281171,4/17/2022,Pennsylvania,Philadelphia,2800 block of Orkney St,0,4,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2281541,4/17/2022,Oregon,Portland,16150 SE Stark St,1,3,N/A,45.518897,-122.496908,1,rooftop,16150,SE Stark St,,,Portland,OR,Multnomah County,97233,US,Portland
2280875,4/17/2022,South Carolina,Furman,72 Ashley Circle Rd,0,9,N/A,32.691598,-81.189266,1,range_interpolation,72,Ashley Cir,,,Furman,SC,Hampton County,29921,US,TIGER/Line® dataset from the US Census Bureau
2281164,4/17/2022,California,Sacramento,7200 block of Franklin Blvd,1,3,N/A,38.377411,-121.444429,0.5,place,,,,,Sacramento,CA,Sacramento County,94240,US,TIGER/Line® dataset from the US Census Bureau
2281483,4/17/2022,Florida,Miami,15020 South River Dr,1,3,N/A,25.912241,-80.221647,1,rooftop,15020,S River Dr,,,Miami,FL,Miami-Dade County,33167,US,Miami
2280711,4/17/2022,Pennsylvania,Pittsburgh,900B Madison Ave,2,9,N/A,40.455879,-79.997233,1,rooftop,900,Madison Ave,,,Pittsburgh,PA,Allegheny County,15212,US,Allegheny
2282256,4/17/2022,Louisiana,Baldwin,Rosebud Rd and Baptiste St,0,5,N/A,29.832525,-91.557991,0.79,intersection,,Baptiste St,,,Baldwin,LA,St. Mary Parish,70514,US,TIGER/Line® dataset from the US Census Bureau
2280204,4/16/2022,South Carolina,Columbia,100 Columbiana Cir,0,9,N/A,34.078207,-81.157424,1,rooftop,100,Columbiana Cir,,,Columbia,SC,Lexington County,29212,US,Lexington
2280495,4/16/2022,Maryland,Baltimore,5300 block of Maple Ave,1,3,N/A,39.28073,-76.600152,0.7,street_center,,Block St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
2281244,4/16/2022,Nevada,North Las Vegas,4900 block of Support St,0,4,N/A,36.211456,-115.124148,0.5,place,,,,,North Las Vegas,NV,Clark County,89030,US,TIGER/Line® dataset from the US Census Bureau
2281410,4/16/2022,Texas,Daingerfield,FM 144 and Edwards Rd,1,6,N/A,33.044611,-94.739524,0.5,place,,,,,Daingerfield,TX,Morris County,75638,US,TIGER/Line® dataset from the US Census Bureau
2280017,4/16/2022,New York,Syracuse,300 block of S Clinton St,1,4,N/A,43.036697,-75.382414,0.5,place,,,,,Clinton,NY,Oneida County,13323,US,TIGER/Line® dataset from the US Census Bureau
2280504,4/15/2022,California,Stockton,300 block of Coventry Dr,2,2,N/A,37.672196,-121.298794,0.5,place,,,,,Stockton,CA,San Joaquin County,95201,US,TIGER/Line® dataset from the US Census Bureau
2276339,4/12/2022,New York,Brooklyn,36th St and 4th Ave,0,10,N/A,40.654309,-74.004419,1,intersection,,36th St,,,Brooklyn,NY,Kings County,11232,US,TIGER/Line® dataset from the US Census Bureau
2277011,4/12/2022,New York,Bronx,2825 Olinville Ave,1,3,N/A,40.867222,-73.868539,1,rooftop,2825,Olinville Ave,,,Bronx,NY,Bronx County,10467,US,City of New York
2275242,4/10/2022,Louisiana,Baton Rouge,2700 block of Lorraine St,0,4,N/A,30.44924,-91.185607,0.5,place,,,,,Baton Rouge,LA,East Baton Rouge Parish,70801,US,TIGER/Line® dataset from the US Census Bureau
2274790,4/10/2022,Iowa,Cedar Rapids,415 3rd St SE,2,10,N/A,41.976171,-91.664668,1,rooftop,415,3rd St SE,,,Cedar Rapids,IA,Linn County,52401,US,Linn
2274803,4/10/2022,Illinois,Elgin,958 Congdon Ave,2,4,N/A,42.057294,-88.255026,1,rooftop,958,Congdon Ave,,,Elgin,IL,Cook County,60120,US,Cook
2275283,4/10/2022,California,Willowbrook,Blakley Ave and E 122nd Pl,2,5,N/A,33.922092,-118.247319,0.8,intersection,,Blakley Ave,,,Los Angeles,CA,Los Angeles County,90059,US,TIGER/Line® dataset from the US Census Bureau
2274783,4/10/2022,Indiana,Indianapolis,4270 W 38th St,1,5,N/A,39.825449,-86.233058,1,rooftop,4270,W 38th St,,,Indianapolis,IN,Marion County,46254,US,Statewide IN
2274855,4/9/2022,District of Columbia,Washington,O St SW and Half St SW,0,4,N/A,38.87296,-77.010651,1,intersection,,Half St SW,,,Washington,DC,District of Columbia,20024,US,TIGER/Line® dataset from the US Census Bureau
